3,Ефимова Ибрагим,30,90645₽
4,Дмитриева Виктор,31,53843₽
8,Дубровина Софья,36,68999₽
9,Соловьев Вадим,65,77339₽
11,Дроздова Дмитрий,48,85495₽
12,Синицын Борис,65,76657₽
13,Воронина Амина,39,68686₽
14,Александрова Ангелина,56,86546₽
23,Муравьев Полина,64,56944₽
24,Чернышев Лев,47,55394₽
27,Беляков Михаил,35,80721₽
33,Васильев Игорь,39,80697₽
35,Емельянов Семён,75,57340₽
37,Дмитриева Виктория,35,75676₽
38,Зайцев Марьяна,61,81031₽
42,Корчагина Светлана,34,68591₽
43,Дьяконов Милана,38,80323₽
45,Волкова Светлана,52,77741₽
46,Майоров Николай,44,78656₽
50,Дубровина Святослав,61,80314₽
52,Терентьев Павел,68,89556₽
53,Широков Елизавета,39,89302₽
54,Горячева Агния,30,84318₽
55,Михайлов Варвара,31,65932₽
56,Николаева Варвара,46,84902₽
60,Кузнецова Вячеслав,74,69218₽
63,Максимов Маргарита,68,56402₽
66,Антонов Маргарита,49,89752₽
67,Дроздова Тигран,62,68301₽
68,Царев Григорий,76,89785₽
72,Кузнецова Амина,63,96470₽
73,Еремина Оливия,65,79184₽
